t,vx_true,vy_true,vz_true,vx_est,vy_est,vz_est
1.95,0.0721451,0.0609131,-0.16945,0.0857369,0.061207,-0.160135
1.96,0.0596369,0.0626899,-0.109282,0.0711729,0.063298,-0.0988083
1.97,0.0481323,0.0614048,-0.0470299,0.0574529,0.0617434,-0.0360843
1.98,0.032112,0.0435818,0.0399336,0.0378791,0.0436379,0.0507642
1.99,0.0336101,0.0152642,0.11972,0.0359928,0.0148949,0.13076
2,0.0439002,-0.00663093,0.192098,0.0432164,-0.00733994,0.203546
2.01,0.0390977,-0.0176283,0.264161,0.0356373,-0.0188666,0.274946
2.02,0.0529647,-0.0257844,0.288345,0.0491739,-0.0270391,0.298184
2.03,0.0753777,-0.0336118,0.277859,0.0743242,-0.0349987,0.286144
2.04,0.101251,-0.0403845,0.242001,0.102993,-0.0420134,0.249894
2.05,0.123912,-0.0447296,0.191891,0.126991,-0.04657,0.200691
2.06,0.14082,-0.046737,0.120203,0.145954,-0.0488471,0.129594
2.07,0.148666,-0.0487892,0.0343638,0.156191,-0.0508709,0.0437649
2.08,0.148122,-0.0515219,-0.0534349,0.157971,-0.0535398,-0.0440931
2.09,0.144177,-0.0542142,-0.133339,0.156052,-0.0564204,-0.124494
2.1,0.141967,-0.0566669,-0.20674,0.155463,-0.0591131,-0.198191
2.11,0.13989,-0.0581117,-0.258979,0.154704,-0.0604921,-0.250564
2.12,0.134755,-0.0579075,-0.279032,0.149892,-0.0601306,-0.270657
2.13,0.125854,-0.0583438,-0.266688,0.140576,-0.0604874,-0.258006
2.14,0.114047,-0.0598579,-0.228641,0.128117,-0.0619796,-0.219526
2.15,0.101066,-0.0618608,-0.17467,0.113471,-0.0635384,-0.164683
2.16,0.0890546,-0.0635384,-0.114924,0.0995309,-0.0651168,-0.104437
2.17,0.0779047,-0.0626602,-0.0524887,0.0862733,-0.0636699,-0.0416902
2.18,0.0611391,-0.0456369,0.0353602,0.0663002,-0.0460477,0.0463983
