t,x_true,y_true,x_est,y_est
3.63,0.231136,0.00074261,0.257828,0.000175587
3.64,0.233572,0.000336028,0.260557,-0.000312884
3.65,0.236295,-0.000134123,0.263185,-0.000786023
3.66,0.239238,-0.000635301,0.266039,-0.00128582
3.67,0.242289,-0.001157,0.269018,-0.00179257
3.68,0.24534,-0.00170017,0.272016,-0.00230246
3.69,0.248329,-0.00226178,0.274975,-0.00281321
3.7,0.251262,-0.00284508,0.277907,-0.003329
3.71,0.254171,-0.00345165,0.280861,-0.00385598
3.72,0.257042,-0.00406049,0.283812,-0.00438538
3.73,0.259839,-0.00465948,0.286687,-0.00490728
3.74,0.262518,-0.00525974,0.289431,-0.00542841
3.75,0.265058,-0.00588227,0.292009,-0.00597261
3.76,0.267465,-0.00654004,0.294421,-0.00655009
3.77,0.269756,-0.00722873,0.296682,-0.0071656
3.78,0.271868,-0.00784128,0.298709,-0.00771988
3.79,0.27381,-0.00819845,0.300496,-0.00804826
3.8,0.275753,-0.00827335,0.302247,-0.00809752
3.81,0.277673,-0.00816819,0.303977,-0.00793815
3.82,0.279624,-0.00794729,0.305816,-0.00760934
3.83,0.281783,-0.007622,0.308162,-0.00711904
3.84,0.284231,-0.00720113,0.310845,-0.00658047
3.85,0.286967,-0.00671373,0.313469,-0.006067
3.86,0.289924,-0.00619386,0.316323,-0.00552096
3.87,0.292989,-0.0056533,0.319301,-0.00495774
3.88,0.296053,-0.00509283,0.322299,-0.00438185
3.89,0.299055,-0.0045163,0.325264,-0.00380308
3.9,0.302001,-0.0039205,0.328203,-0.00322753
3.91,0.304921,-0.0033025,0.331169,-0.00264548
3.92,0.307801,-0.00268236,0.334134,-0.00207685
3.93,0.310606,-0.00207223,0.337031,-0.00154055
3.94,0.313291,-0.00145865,0.339793,-0.00102486
3.95,0.315832,-0.000819889,0.342382,-0.000507585
3.96,0.318235,-0.000144585,0.344798,3.28202e-05
3.97,0.320515,0.000562862,0.34706,0.000599265
3.98,0.322601,0.0011888,0.349083,0.00109829
3.99,0.324519,0.00155373,0.350864,0.00137159
4,0.326445,0.00163509,0.352612,0.00138286
4.01,0.328313,0.00153409,0.354307,0.00120059
