t,sigma_0,sigma_1,sigma_2,sigma_8,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7
10.151,0.00540658,0.00496998,0.00499162,0.136095,0.00254415,0.00250934,0.00177166,0.0423026,0.0419799
10.201,0.00541798,0.00497347,0.00499651,0.136621,0.00250247,0.00250215,0.00174198,0.0420145,0.0416988
10.251,0.00542789,0.00497587,0.00500095,0.137137,0.00245485,0.00246047,0.00172108,0.041785,0.0414634
10.301,0.00545646,0.0049935,0.00502294,0.137612,0.00250623,0.00251604,0.00176002,0.0418871,0.0415454
10.351,0.00547727,0.00500467,0.0050383,0.138064,0.00251359,0.00253359,0.00176784,0.0418445,0.0416027
10.401,0.00548545,0.00500646,0.00504284,0.138682,0.00248892,0.00248594,0.00173903,0.0414254,0.0411934
10.451,0.00549684,0.00500992,0.0050473,0.139204,0.00246169,0.00242257,0.00171865,0.0412197,0.0409824
10.501,0.00552797,0.00502927,0.0050691,0.139725,0.00250986,0.00246063,0.0017578,0.0412904,0.0409688
10.551,0.0055524,0.0050423,0.00508457,0.140228,0.0025194,0.00249191,0.00176623,0.0412176,0.0409223
10.601,0.00556347,0.00504575,0.0050895,0.140759,0.00248091,0.00248671,0.0017374,0.0409614,0.040672
10.651,0.00557322,0.00504894,0.00509465,0.141278,0.0024375,0.00245912,0.00171924,0.0407762,0.0404724
10.701,0.00560049,0.00506674,0.00511628,0.141759,0.00248643,0.00251456,0.00175838,0.0408916,0.0405634
10.751,0.00562005,0.00507815,0.00513145,0.142216,0.00249809,0.00252821,0.00176652,0.0408731,0.0406454
10.801,0.00562722,0.00508016,0.00513599,0.142835,0.00247641,0.00247886,0.00173769,0.0404775,0.0402607
10.851,0.005638,0.00508354,0.00514039,0.143359,0.00244578,0.00241917,0.00171678,0.0402966,0.0400752
10.901,0.0056683,0.0051027,0.00516173,0.14388,0.00249193,0.0024553,0.00175577,0.040381,0.0400764
10.951,0.00569195,0.00511551,0.00517687,0.144383,0.00250226,0.00248307,0.00176413,0.0403271,0.0400602
11.001,0.00570226,0.00511884,0.00518167,0.144919,0.00246544,0.00247566,0.00173527,0.0400929,0.0398301
11.051,0.00571071,0.00512224,0.00518666,0.145442,0.00241631,0.0024508,0.00171641,0.0399305,0.0396496
11.101,0.00573608,0.00514027,0.00520773,0.145926,0.00246148,0.00250486,0.00175509,0.0400632,0.0397458
11.151,0.00575385,0.00515192,0.00522251,0.146385,0.00247708,0.00251365,0.00176307,0.0400679,0.0398558
11.201,0.00575979,0.00515419,0.00522698,0.147007,0.00245848,0.002465,0.00173431,0.0396927,0.0394896
11.251,0.00576997,0.0051576,0.00523135,0.147535,0.00242519,0.00241025,0.00171323,0.0395352,0.039329
11.301,0.00579925,0.00517671,0.00525223,0.148058,0.00246944,0.00244544,0.00175215,0.0396302,0.0393411
