t,err_imu_only,err_contact
5.15,0.0478075,0.0100873
5.16,0.0483454,0.0104244
5.17,0.0486755,0.0110751
5.18,0.0492563,0.0119755
5.19,0.050132,0.0131154
5.2,0.0503548,0.0141129
5.21,0.0507884,0.0151715
5.22,0.0508061,0.0149807
5.23,0.0509077,0.0136846
5.24,0.0510345,0.012652
5.25,0.051193,0.0123247
5.26,0.0513269,0.0118198
5.27,0.0511754,0.0110912
5.28,0.0509266,0.0101229
5.29,0.0509131,0.00945908
5.3,0.0510044,0.00890336
5.31,0.051023,0.00856237
5.32,0.051043,0.00829622
5.33,0.0514224,0.00842995
5.34,0.0519471,0.00841897
5.35,0.0524484,0.0086957
5.36,0.0528279,0.00903011
5.37,0.0532115,0.00941292
5.38,0.0539614,0.0103372
5.39,0.0548162,0.012093
5.4,0.0552261,0.0136155
5.41,0.0555184,0.0145742
5.42,0.0557108,0.014398
5.43,0.0558172,0.0129272
5.44,0.0557974,0.0118007
5.45,0.0560862,0.0121295
5.46,0.0557357,0.011863
5.47,0.0553686,0.0114239
5.48,0.0550847,0.0106664
5.49,0.0551479,0.0100568
5.5,0.0553407,0.00981911
5.51,0.0551784,0.00944741
5.52,0.0551102,0.00926204
5.53,0.0552523,0.0094402
5.54,0.0555689,0.00976098
5.55,0.055545,0.0101463
5.56,0.0558271,0.0108495
5.57,0.0563985,0.0116598
5.58,0.0567303,0.0118848
5.59,0.0571279,0.0127843
5.6,0.0574433,0.0132721
5.61,0.0581432,0.0138664
5.62,0.0581864,0.0138573
5.63,0.0586387,0.0128585
5.64,0.0589331,0.0121133
5.65,0.0590045,0.0122196
5.66,0.0589875,0.0121636
5.67,0.0587925,0.0115301
5.68,0.0586905,0.0110264
5.69,0.0588322,0.0104215
5.7,0.0588681,0.0101022
5.71,0.0583217,0.00968682
5.72,0.0584485,0.00971062
5.73,0.0587863,0.00990281
5.74,0.0592121,0.00976053
5.75,0.0595237,0.00966657
5.76,0.059848,0.00961584
5.77,0.0602607,0.00991124
5.78,0.0610086,0.0105592
5.79,0.0614366,0.0116718
5.8,0.0622313,0.0129634
5.81,0.0627781,0.014064
5.82,0.063031,0.0141432
5.83,0.0631014,0.0130194
5.84,0.0629216,0.0118338
5.85,0.0630135,0.0119716
5.86,0.062612,0.0117691
5.87,0.0625154,0.0112531
5.88,0.0624364,0.0108426
5.89,0.0623249,0.0103542
5.9,0.0625291,0.0105043
5.91,0.062448,0.0102063
5.92,0.0623312,0.00985061
5.93,0.0622711,0.0101083
5.94,0.0625775,0.00993213
5.95,0.0628691,0.010337
5.96,0.0631425,0.0106197
5.97,0.0634765,0.0108181
5.98,0.0638516,0.0111672
5.99,0.0645854,0.01153
6,0.065192,0.0123309
6.01,0.0656487,0.0129905
6.02,0.0661211,0.0131638
6.03,0.0661037,0.012379
6.04,0.0662309,0.0117674
6.05,0.0664891,0.0118672
6.06,0.0665907,0.011798
6.07,0.0665331,0.0115991
6.08,0.0666,0.0115216
6.09,0.0668582,0.0110368
6.1,0.0665575,0.0111017
6.11,0.066897,0.0108128
6.12,0.0669535,0.0103962
6.13,0.0668614,0.0104133
6.14,0.0670883,0.0106266
6.15,0.0674285,0.0106697
6.16,0.0679306,0.0109613
6.17,0.0684287,0.0112692
6.18,0.0690559,0.011609
6.19,0.0697701,0.0127049
6.2,0.0702198,0.0137754
6.21,0.0709458,0.0145768
6.22,0.0708844,0.0146157
6.23,0.0712291,0.0139613
6.24,0.0713369,0.0132362
6.25,0.0712944,0.0132644
6.26,0.0708379,0.012856
6.27,0.0705671,0.0125401
6.28,0.0702807,0.0119829
6.29,0.0701102,0.0116015
6.3,0.0703338,0.0113001
6.31,0.0704832,0.0116095
6.32,0.0708252,0.0114757
6.33,0.0711323,0.0112247
6.34,0.0714965,0.0114379
6.35,0.0715487,0.0119033
6.36,0.0715941,0.0121429
6.37,0.0719964,0.0126076
6.38,0.072592,0.012846
6.39,0.0730863,0.0131453
6.4,0.0737694,0.0136308
6.41,0.0744464,0.0140492
6.42,0.0745094,0.0138136
6.43,0.0746441,0.0126226
6.44,0.0747918,0.0118803
6.45,0.074709,0.0118563
6.46,0.0749626,0.0117276
6.47,0.0746027,0.0114466
6.48,0.0743558,0.0112753
6.49,0.0740418,0.0109011
6.5,0.0740486,0.010854
6.51,0.0737655,0.0107291
6.52,0.0735576,0.0109997
6.53,0.0738736,0.0110496
6.54,0.0740413,0.0110815
6.55,0.0741858,0.0110739
6.56,0.0747697,0.0112849
6.57,0.0750204,0.0115034
6.58,0.0757498,0.0113852
6.59,0.0761604,0.0118661
6.6,0.0768013,0.012477
6.61,0.0774421,0.0130854
6.62,0.0779161,0.0132929
6.63,0.0780003,0.0122879
6.64,0.0780982,0.0118536
6.65,0.0780347,0.0121901
6.66,0.0779808,0.0121082
6.67,0.0778289,0.0118941
6.68,0.0774831,0.011789
6.69,0.0773481,0.011469
6.7,0.0773909,0.011577
6.71,0.0773294,0.0112654
6.72,0.0773286,0.0113688
6.73,0.0773399,0.0111916
6.74,0.0780507,0.0110426
6.75,0.0780234,0.0113333
6.76,0.0785993,0.0115741
6.77,0.0793052,0.0118191
6.78,0.0800087,0.0122622
6.79,0.0807957,0.0127396
6.8,0.0815689,0.0131039
6.81,0.0823495,0.0135949
6.82,0.0826331,0.0136786
6.83,0.0826664,0.0125669
6.84,0.0827578,0.0120489
6.85,0.0829172,0.0119599
6.86,0.0827484,0.011925
6.87,0.0826315,0.0119577
6.88,0.082646,0.0115042
6.89,0.0825138,0.0110941
6.9,0.0824193,0.011033
6.91,0.0823761,0.0111702
6.92,0.0824232,0.0112385
6.93,0.0826758,0.011308
6.94,0.0831279,0.0114975
6.95,0.0832639,0.0115644
6.96,0.0836393,0.0116312
6.97,0.0840422,0.011824
6.98,0.0848801,0.0120821
6.99,0.0853448,0.0125521
7,0.0860262,0.0132927
7.01,0.0865294,0.0135161
7.02,0.0868766,0.0133846
7.03,0.0871644,0.012527
7.04,0.0871114,0.0116573
7.05,0.0871238,0.0116012
7.06,0.0869421,0.0113886
7.07,0.0867266,0.0112844
7.08,0.0866386,0.0109906
7.09,0.0866779,0.0107124
7.1,0.0864317,0.0101967
7.11,0.086012,0.0101751
7.12,0.0859999,0.0100375
7.13,0.0862879,0.0099097
7.14,0.0869464,0.00972901
7.15,0.0873761,0.00964876
7.16,0.0879361,0.00997613
7.17,0.0882718,0.0103734
7.18,0.0889565,0.0102911
7.19,0.0896155,0.010633
7.2,0.0905204,0.0113643
7.21,0.0911371,0.0116746
7.22,0.0915199,0.011733
7.23,0.0916322,0.0109058
7.24,0.0918032,0.00985008
7.25,0.0918196,0.00964491
7.26,0.0916192,0.00948793
7.27,0.0914704,0.00883121
7.28,0.0909945,0.00849052
7.29,0.0907835,0.00844898
7.3,0.0906348,0.00828652
7.31,0.0903971,0.00829299
7.32,0.0907083,0.00782375
7.33,0.0909564,0.00778725
7.34,0.0913283,0.00791496
7.35,0.0918139,0.00783912
7.36,0.0920668,0.00795672
7.37,0.0923894,0.00798886
7.38,0.0927704,0.0081975
7.39,0.0933713,0.00885722
7.4,0.0940885,0.00965254
7.41,0.0943977,0.0100455
7.42,0.0943003,0.00980412
7.43,0.094351,0.00911906
7.44,0.0941293,0.00874291
7.45,0.0941916,0.0089657
7.46,0.0941515,0.0088836
7.47,0.0941793,0.00888047
7.48,0.0938843,0.00881888
7.49,0.0937146,0.00880072
7.5,0.093739,0.00860849
7.51,0.0936217,0.00835746
7.52,0.0939554,0.00836107
7.53,0.0939047,0.00820532
7.54,0.0939111,0.0084774
7.55,0.0941677,0.0082356
7.56,0.0944494,0.00833048
7.57,0.094746,0.00842941
7.58,0.0957206,0.00835014
7.59,0.0963812,0.00815974
7.6,0.0968612,0.00878451
7.61,0.0970162,0.00879475
7.62,0.0975123,0.00882825
7.63,0.0975684,0.0079414
7.64,0.0976144,0.00772258
7.65,0.0976413,0.00763556
7.66,0.0973642,0.00742911
7.67,0.0971729,0.00739408
7.68,0.0968564,0.00748824
7.69,0.0966426,0.00738986
7.7,0.0964528,0.00772658
7.71,0.0963867,0.00839055
7.72,0.0963981,0.00872992
7.73,0.0964207,0.00875009
7.74,0.0966403,0.00882885
7.75,0.0971486,0.0088574
7.76,0.097878,0.00834237
7.77,0.0984274,0.00796696
7.78,0.0989054,0.00791978
7.79,0.0997289,0.00845047
7.8,0.100394,0.00940244
7.81,0.101164,0.00982206
7.82,0.101132,0.00984658
7.83,0.101385,0.00908957
7.84,0.101286,0.00831707
7.85,0.101166,0.00864238
7.86,0.101293,0.00847926
7.87,0.100757,0.00835135
7.88,0.100686,0.00842465
