t,roll_err_deg,roll_err_rms_deg,bay_err_rms,roll_sigma_deg,bay_err,bay_sigma,turning
2.09,-0.0469434,0.24368,0.0399483,0.931726,0.000893001,0.159786,0
2.1,-0.0577422,0.235677,0.0388164,0.930715,0.00118732,0.159718,0
2.11,-0.0608586,0.227712,0.037577,0.929664,0.00211655,0.159627,0
2.12,-0.0740928,0.220743,0.0363706,0.928537,0.00459597,0.159507,0
2.13,-0.0994705,0.215532,0.0353346,0.927411,0.00925933,0.15938,0
2.14,-0.13832,0.212009,0.034527,0.926415,0.0156414,0.159272,0
2.15,-0.182704,0.209446,0.0338422,0.925558,0.0225043,0.159191,0
2.16,-0.221926,0.207081,0.0331059,0.92479,0.0286794,0.159131,0
2.17,-0.253328,0.204188,0.03224,0.924074,0.0334741,0.159084,0
2.18,-0.263335,0.200809,0.0313538,0.923515,0.0365933,0.15905,0
2.19,-0.257819,0.198179,0.0306848,0.923321,0.0381325,0.159026,0
2.2,-0.265364,0.19709,0.030355,0.923394,0.038279,0.159012,0
2.21,-0.281032,0.197029,0.0302796,0.923689,0.0381309,0.159004,0
2.22,-0.29649,0.197041,0.0302984,0.924146,0.0394289,0.158992,0
2.23,-0.320563,0.196404,0.0302674,0.92453,0.0441942,0.158948,0
2.24,-0.325393,0.195096,0.0301228,0.925013,0.0471212,0.15891,0
2.25,-0.308674,0.193506,0.0299149,0.925646,0.0464822,0.158891,0
2.26,-0.295018,0.191953,0.029744,0.926247,0.0460988,0.158867,0
2.27,-0.282251,0.190908,0.0296676,0.926775,0.0463631,0.15883,0
2.28,-0.273757,0.190548,0.0296598,0.927167,0.0473216,0.158775,0
2.29,-0.266124,0.190537,0.0296596,0.927362,0.0485841,0.158699,0
2.3,-0.261434,0.190628,0.0296571,0.927325,0.0497255,0.158602,0
2.31,-0.263557,0.190805,0.0296585,0.926978,0.0499279,0.158476,0
2.32,-0.253291,0.191035,0.0296642,0.926277,0.0476666,0.158311,0
2.33,-0.21559,0.19122,0.0296716,0.925392,0.040751,0.158128,0
2.34,-0.145371,0.19126,0.0296789,0.924497,0.0286943,0.157947,0
2.35,-0.0481686,0.191213,0.0296872,0.923573,0.0126716,0.157756,0
2.36,0.0576842,0.191253,0.0297008,0.922474,-0.0049654,0.157529,0
2.37,0.160955,0.191549,0.0297316,0.921092,-0.021875,0.157247,0
2.38,0.233503,0.192257,0.0298115,0.919424,-0.0362973,0.15692,0
2.39,0.268674,0.193394,0.0299803,0.917642,-0.0447535,0.156582,0
2.4,0.277077,0.193858,0.0301011,0.916044,-0.0449264,0.156294,0
2.41,0.254606,0.193296,0.0301198,0.914782,-0.0383338,0.156095,0
2.42,0.188677,0.19171,0.0300393,0.913838,-0.025859,0.155986,0
2.43,0.112014,0.189342,0.0298934,0.912912,-0.0137158,0.155908,0
2.44,0.075329,0.186867,0.0297307,0.912178,-0.00912577,0.15588,0
2.45,0.0648296,0.184456,0.0296034,0.911493,-0.00897167,0.155872,0
2.46,0.0523652,0.181797,0.0295419,0.910739,-0.00884865,0.155861,0
2.47,0.0397159,0.178842,0.0295204,0.909911,-0.00873799,0.155844,0
2.48,0.0253739,0.175124,0.0293937,0.909016,-0.00854371,0.155816,0
2.49,0.0093203,0.169898,0.028957,0.908101,-0.00808927,0.155776,0
2.5,-0.00226219,0.164086,0.0283021,0.907199,-0.00741524,0.155723,0
2.51,-0.00681636,0.158581,0.0275445,0.906293,-0.00659963,0.155654,0
2.52,-0.00712712,0.154637,0.0268656,0.905315,-0.00531674,0.155556,0
2.53,-0.0164781,0.153253,0.026452,0.904311,-0.00328201,0.155445,0
2.54,-0.0339533,0.15409,0.0263783,0.903412,-0.00037379,0.155347,0
2.55,-0.052589,0.156187,0.0264625,0.902644,0.00247612,0.155274,0
2.56,-0.0649229,0.158203,0.0264195,0.901968,0.00432989,0.155221,0
2.57,-0.0715711,0.158845,0.0260995,0.90133,0.00497097,0.15518,0
2.58,-0.0568115,0.157777,0.0255733,0.900822,0.00486042,0.155146,0
2.59,-0.0411387,0.156433,0.0251366,0.900616,0.00477985,0.155114,0
2.6,-0.0515025,0.156287,0.02499,0.900615,0.00560594,0.155083,0
2.61,-0.0819975,0.156646,0.025017,0.900794,0.00796193,0.155054,0
2.62,-0.122534,0.156151,0.0249853,0.901129,0.0130632,0.155026,0
2.63,-0.170556,0.153759,0.0246835,0.901506,0.0215922,0.154988,0
2.64,-0.191352,0.149613,0.0240293,0.902015,0.0270183,0.154962,0
2.65,-0.178029,0.144522,0.0231765,0.902627,0.0266006,0.154949,0
2.66,-0.164346,0.139409,0.0224021,0.903211,0.0265535,0.154931,0
2.67,-0.153738,0.135595,0.0219211,0.903725,0.0273374,0.154901,0
2.68,-0.146866,0.133822,0.0217467,0.904112,0.0291444,0.154854,0
2.69,-0.146936,0.133242,0.0217082,0.904301,0.0317474,0.154787,0
2.7,-0.155628,0.132879,0.0216776,0.904267,0.0344729,0.154699,0
2.71,-0.167334,0.132655,0.0216469,0.903983,0.0371203,0.154588,0
2.72,-0.17426,0.132525,0.0216199,0.903344,0.0377375,0.154439,0
2.73,-0.154501,0.132448,0.0216027,0.902466,0.0337702,0.154265,0
2.74,-0.0980943,0.132457,0.0216003,0.901551,0.0237191,0.15409,0
2.75,-0.00619643,0.132546,0.0216078,0.90062,0.00886512,0.153906,0
2.76,0.0980319,0.132565,0.0216114,0.899515,-0.008324,0.153685,0
2.77,0.200415,0.132615,0.0216019,0.898108,-0.0255003,0.153406,0
2.78,0.271783,0.132987,0.0216011,0.896375,-0.0407665,0.15307,0
2.79,0.312461,0.133983,0.0216772,0.89446,-0.0502652,0.152709,0
